VendaID,ClienteID,ProdutoID,Quantidade,Preço,Valor,Data
1,182,9,1,350.0,350.0,2026-02-03
2,59,9,1,350.0,350.0,2025-04-22
3,9,11,1,980.0,980.0,2026-05-22
4,19,11,3,980.0,2940.0,2025-02-14
5,61,13,5,870.0,4350.0,2025-01-20
6,172,6,3,1700.0,5100.0,2024-09-15
7,55,13,4,870.0,3480.0,2026-05-16
8,34,15,5,5200.0,26000.0,2024-09-21
9,148,2,5,3900.0,19500.0,2024-08-12
10,63,3,4,180.0,720.0,2024-09-13
11,105,14,4,450.0,1800.0,2026-06-12
12,25,9,2,350.0,700.0,2026-05-29
13,169,1,1,4200.0,4200.0,2025-11-26
14,91,6,4,1700.0,6800.0,2025-09-23
15,106,14,4,450.0,1800.0,2026-03-27
16,187,6,4,1700.0,6800.0,2025-09-24
17,173,15,1,5200.0,5200.0,2026-03-15
18,16,6,1,1700.0,1700.0,2024-08-25
19,187,6,4,1700.0,6800.0,2026-06-30
20,28,5,3,1100.0,3300.0,2024-09-25
21,50,6,2,1700.0,3400.0,2025-04-24
22,138,4,2,320.0,640.0,2026-03-01
23,36,5,4,1100.0,4400.0,2026-01-27
24,47,2,4,3900.0,15600.0,2026-04-06
25,119,13,3,870.0,2610.0,2026-03-23
26,20,12,2,1550.0,3100.0,2025-09-29
27,141,9,4,350.0,1400.0,2024-11-07
28,13,1,1,4200.0,4200.0,2024-10-25
29,4,8,5,420.0,2100.0,2025-01-03
30,193,5,1,1100.0,1100.0,2024-09-07
31,43,15,2,5200.0,10400.0,2024-11-02
32,125,7,4,480.0,1920.0,2024-07-09
33,55,2,4,3900.0,15600.0,2025-06-05
34,16,5,4,1100.0,4400.0,2025-07-14
35,98,6,2,1700.0,3400.0,2025-07-21
36,100,2,1,3900.0,3900.0,2026-06-27
37,117,11,3,980.0,2940.0,2026-03-30
38,109,10,3,270.0,810.0,2026-03-27
39,170,14,5,450.0,2250.0,2025-05-20
40,40,7,4,480.0,1920.0,2025-08-26
41,76,10,2,270.0,540.0,2025-08-30
42,15,10,2,270.0,540.0,2024-11-30
43,189,15,5,5200.0,26000.0,2025-06-25
44,16,15,5,5200.0,26000.0,2024-10-30
45,15,9,3,350.0,1050.0,2024-09-04
46,150,6,1,1700.0,1700.0,2024-11-25
47,129,9,4,350.0,1400.0,2025-03-05
48,41,8,5,420.0,2100.0,2026-05-09
49,131,10,1,270.0,270.0,2024-09-22
50,48,5,1,1100.0,1100.0,2025-06-03
51,153,4,1,320.0,320.0,2026-03-20
52,173,14,1,450.0,450.0,2025-12-11
53,104,6,2,1700.0,3400.0,2026-02-23
54,146,9,1,350.0,350.0,2026-06-21
55,149,8,2,420.0,840.0,2025-07-22
56,11,2,5,3900.0,19500.0,2025-04-29
57,21,11,5,980.0,4900.0,2025-01-05
58,169,10,4,270.0,1080.0,2025-11-28
59,145,8,5,420.0,2100.0,2024-07-15
60,81,12,5,1550.0,7750.0,2026-03-03
61,53,3,3,180.0,540.0,2025-09-07
62,62,1,3,4200.0,12600.0,2025-04-15
63,102,9,3,350.0,1050.0,2025-03-09
64,172,8,2,420.0,840.0,2024-08-02
65,118,15,3,5200.0,15600.0,2026-01-22
66,193,14,3,450.0,1350.0,2025-01-06
67,3,3,1,180.0,180.0,2026-06-12
68,160,7,4,480.0,1920.0,2025-05-15
69,26,14,5,450.0,2250.0,2024-12-30
70,138,9,1,350.0,350.0,2025-08-24
71,130,12,2,1550.0,3100.0,2025-10-17
72,34,5,3,1100.0,3300.0,2025-06-20
73,18,6,3,1700.0,5100.0,2026-06-04
74,95,6,2,1700.0,3400.0,2025-10-29
75,41,14,3,450.0,1350.0,2024-10-23
76,140,7,4,480.0,1920.0,2025-11-04
77,157,10,3,270.0,810.0,2026-04-10
78,3,13,5,870.0,4350.0,2024-10-08
79,77,8,5,420.0,2100.0,2024-11-14
80,35,5,1,1100.0,1100.0,2025-07-01
81,30,14,3,450.0,1350.0,2025-03-18
82,191,6,1,1700.0,1700.0,2025-01-25
83,40,13,5,870.0,4350.0,2024-10-29
84,73,11,3,980.0,2940.0,2025-04-26
85,54,1,5,4200.0,21000.0,2025-05-15
86,53,11,3,980.0,2940.0,2024-08-04
87,130,8,3,420.0,1260.0,2024-11-08
88,65,14,4,450.0,1800.0,2026-03-12
89,24,15,1,5200.0,5200.0,2024-12-24
90,71,4,4,320.0,1280.0,2025-05-05
91,1,15,1,5200.0,5200.0,2025-11-14
92,198,5,3,1100.0,3300.0,2024-11-09
93,164,13,2,870.0,1740.0,2024-09-17
94,42,4,3,320.0,960.0,2025-06-03
95,142,14,4,450.0,1800.0,2025-11-17
96,144,11,4,980.0,3920.0,2026-04-24
97,29,5,1,1100.0,1100.0,2026-04-15
98,177,3,1,180.0,180.0,2025-05-19
99,140,1,2,4200.0,8400.0,2025-12-22
100,95,2,1,3900.0,3900.0,2026-02-27
101,142,1,5,4200.0,21000.0,2026-05-17
102,111,12,2,1550.0,3100.0,2025-10-30
103,11,8,2,420.0,840.0,2026-02-01
104,94,6,3,1700.0,5100.0,2024-10-20
105,92,9,1,350.0,350.0,2025-11-04
106,175,10,2,270.0,540.0,2026-02-07
107,171,13,2,870.0,1740.0,2024-09-07
108,91,10,1,270.0,270.0,2025-08-12
109,105,4,5,320.0,1600.0,2024-12-12
110,192,9,5,350.0,1750.0,2024-12-10
111,61,12,2,1550.0,3100.0,2024-07-24
112,46,4,2,320.0,640.0,2024-08-15
113,7,10,4,270.0,1080.0,2025-07-15
114,189,10,2,270.0,540.0,2026-04-17
115,106,2,3,3900.0,11700.0,2025-10-05
116,69,11,2,980.0,1960.0,2026-04-23
117,180,9,2,350.0,700.0,2025-06-09
118,98,4,1,320.0,320.0,2025-09-28
119,121,8,1,420.0,420.0,2026-01-12
120,52,9,2,350.0,700.0,2025-04-29
121,90,1,4,4200.0,16800.0,2026-04-18
122,59,8,3,420.0,1260.0,2024-10-04
123,7,2,2,3900.0,7800.0,2026-06-01
124,103,11,2,980.0,1960.0,2025-08-25
125,72,2,3,3900.0,11700.0,2025-08-16
126,198,10,1,270.0,270.0,2026-03-11
127,90,13,3,870.0,2610.0,2025-06-19
128,103,8,5,420.0,2100.0,2026-03-18
129,85,9,5,350.0,1750.0,2025-09-05
130,30,12,1,1550.0,1550.0,2026-02-28
131,46,12,3,1550.0,4650.0,2025-02-09
132,68,3,5,180.0,900.0,2026-06-06
133,28,1,1,4200.0,4200.0,2025-07-22
134,112,10,5,270.0,1350.0,2025-08-22
135,187,8,3,420.0,1260.0,2024-10-31
136,112,12,3,1550.0,4650.0,2024-07-29
137,131,7,5,480.0,2400.0,2025-03-30
138,99,2,1,3900.0,3900.0,2024-08-17
139,49,15,5,5200.0,26000.0,2025-05-13
140,12,11,3,980.0,2940.0,2025-01-08
141,1,5,4,1100.0,4400.0,2026-03-14
142,138,3,5,180.0,900.0,2024-12-05
143,94,9,2,350.0,700.0,2025-02-11
144,18,6,4,1700.0,6800.0,2025-11-13
145,160,15,3,5200.0,15600.0,2025-02-03
146,170,1,3,4200.0,12600.0,2024-10-01
147,185,9,1,350.0,350.0,2025-10-18
148,130,3,3,180.0,540.0,2025-10-24
149,171,7,3,480.0,1440.0,2026-03-16
150,84,2,4,3900.0,15600.0,2024-11-04
151,179,10,4,270.0,1080.0,2026-02-18
152,142,2,3,3900.0,11700.0,2026-04-02
153,50,13,2,870.0,1740.0,2024-09-28
154,171,6,4,1700.0,6800.0,2025-11-17
155,174,9,4,350.0,1400.0,2025-01-15
156,158,11,2,980.0,1960.0,2026-06-19
157,78,15,5,5200.0,26000.0,2024-10-03
158,141,2,4,3900.0,15600.0,2025-03-19
159,78,3,1,180.0,180.0,2025-01-07
160,54,11,3,980.0,2940.0,2025-10-23
161,149,3,4,180.0,720.0,2026-05-25
